,0,1
0,9.238393,73.579216
1,12.526559,73.49513
2,13.651911,74.399826
3,8.597874,73.48936
4,11.858214,72.25057
5,7.9087496,70.61194
6,10.3538,73.6852
7,11.450274,72.858475
8,8.643307,75.38671
9,10.776267,75.58517
10,10.0950775,74.07823
11,8.589694,77.03603
12,10.706792,75.91587
13,7.614301,73.235306
14,11.301853,77.05226
15,12.355222,74.5039
16,10.274498,73.645226
17,8.451179,77.10201
18,9.175335,72.600136
19,11.546086,78.50135
20,10.370099,74.41429
21,12.258695,73.39654
22,8.536248,76.97043
23,8.937156,73.578354
24,9.444999,73.948814
25,10.622377,76.7122
26,7.8381805,75.084625
27,10.154596,75.03793
28,11.305046,74.27583
29,12.720359,74.4502
30,11.038355,75.14521
31,8.985164,71.71426
32,10.676339,73.70436
33,12.824262,74.5661
34,10.315922,73.06188
35,9.370033,77.48457
36,12.205948,72.6074
37,9.835863,72.73404
38,12.607058,72.63612
39,9.137194,73.36905
40,8.305392,77.085915
41,12.010021,74.47579
42,12.48416,73.51608
43,9.381846,75.32189
44,7.971858,74.977905
45,10.724188,77.3185
46,9.238326,74.19342
47,12.555385,76.412125
48,10.386711,75.32686
49,8.477854,70.26155
50,7.1036935,78.2647
51,9.347003,77.71332
52,9.468513,75.1375
53,9.545849,77.363266
54,9.816261,74.276306
55,9.30498,78.837074
56,9.880026,76.71122
57,8.307482,74.991974
58,9.996127,72.64236
59,9.741332,73.600365
60,8.805312,74.50951
61,11.124194,72.83204
62,9.932376,75.44672
63,9.732899,71.64244
64,9.015312,72.785736
65,12.607647,72.84906
66,6.6866684,75.10571
67,9.692233,78.48712
68,12.195509,71.64247
69,7.73764,77.81092
70,9.917158,72.78851
71,6.662369,74.12333
72,7.8267126,71.85306
73,13.218971,72.55606
74,8.07038,75.66262
75,7.7735753,73.67168
76,11.161735,73.00666
77,8.11392,78.6765
78,7.4924965,70.32131
79,11.061532,72.03859
80,9.269993,78.40045
81,7.9763355,77.86811
82,7.8921647,73.724495
83,12.258536,73.74298
84,8.154756,70.33044
85,13.601219,73.164444
86,10.28916,76.49641
87,10.833104,71.403435
88,11.775379,78.115135
89,10.8385,73.44206
90,9.943107,75.4558
91,10.655534,77.49447
92,-70.3649,6.6196346
93,-70.15602,7.3441544
94,-71.14944,6.709524
95,-75.99847,8.228486
96,-70.22823,5.6064706
97,-68.29457,6.7539635
98,-71.59126,4.241448
99,-72.659615,8.974725
100,-71.4489,5.751264
101,-72.9792,7.3152475
102,-68.561035,5.146725
103,-72.64359,6.47886
104,-69.124245,6.2988067
105,-72.937935,4.9067354
106,-69.15332,6.8107953
107,-68.92747,7.0350547
108,-72.26395,5.383806
109,-73.43434,6.836128
110,-71.97691,8.111812
111,-68.50105,9.918454
112,-69.435265,6.740897
113,-71.62291,7.377811
114,-72.43889,7.8769245
115,-74.2289,6.3138413
116,-71.83013,9.366778
117,-68.68444,5.039862
118,-71.06039,7.544319
119,-71.29301,8.168777
120,-73.71454,5.951274
121,-74.11704,7.023414
122,-69.00025,7.650598
123,-70.606834,7.0853996
124,-76.75214,7.3706656
125,-72.15854,5.6968417
126,-70.97825,6.759637
127,-68.49767,9.903585
128,-72.1023,6.4623494
129,-67.800835,6.1855497
130,-71.08545,8.285753
131,-70.15495,6.480617
132,-72.709175,6.134724
133,-69.72584,5.2398233
134,-70.70337,6.8655024
135,-72.92135,5.6799273
136,-71.789536,6.910677
137,-73.970566,7.1444345
138,-68.660324,6.368155
139,-72.19485,6.278542
140,-73.47344,8.271371
141,-71.22695,5.4563313
142,-72.647995,7.5612097
143,-71.89965,9.324596
144,-72.16419,8.109879
145,-68.49756,9.941068
146,-72.481186,7.8452926
147,-73.51996,6.1823874
148,-69.03333,5.979263
149,-68.50644,9.847699
150,-69.45665,6.7987504
151,-74.75245,5.6784177
152,-70.68186,8.30646
153,-73.50669,9.626826
154,-72.27563,8.277182
155,-70.79058,5.7387047
156,-71.924904,5.5750628
157,-70.65893,8.783771
158,-72.1278,5.595579
159,-71.61784,8.673826
160,-72.11855,7.4864235
161,-69.58806,7.426109
162,-70.557175,6.0674324
163,-72.02295,9.011977
164,-69.412674,6.469837
165,-70.554535,7.472632
166,-70.2359,7.2651887
167,-71.12738,5.1075983
168,-74.916565,6.2698097
169,-72.60915,8.012896
170,-71.3351,7.317733
171,-68.27773,5.434055
172,-73.5735,5.4139056
173,-70.03034,7.2523117
174,-17.613327,10.885226
175,-15.511074,11.500125
176,-16.69234,11.374293
177,-16.114113,5.8547597
178,-16.324024,9.866866
179,-16.563927,11.118708
180,-18.052475,12.323448
181,-17.418377,11.300594
182,-17.043356,9.606417
183,-16.988188,10.42828
184,-16.100382,6.9756155
185,-16.85448,12.717372
186,-15.877405,6.1668735
187,-16.10899,6.1766872
188,-16.640966,8.00962
189,-16.681847,7.8367476
190,-16.702026,9.315439
191,-16.226475,8.004389
192,-16.789507,9.886066
193,-13.438897,8.096656
194,-16.330454,9.082776
195,-17.36397,11.948024
196,-15.890896,5.8917165
197,-16.307705,10.680705
198,-17.10051,12.065287
199,-18.199091,11.805056
200,-16.429043,7.806157
201,-15.262369,8.245773
202,-16.091251,10.5405035
203,-17.116758,11.403049
204,-18.313597,8.938053
205,-16.736883,11.982648
206,-16.858557,7.3913426
207,-17.96149,10.304798
208,-16.127361,6.9399943
209,-17.41111,8.788531
210,-15.983682,8.247682
211,-17.590706,11.912868
212,-16.932634,8.434923
213,-15.978448,11.33654
214,-15.700273,8.592481
215,-15.608831,9.963389
216,-16.8593,10.225644
217,-15.693443,8.0900755
218,-16.787178,7.620387
219,-16.509398,6.4398947
220,-16.339844,12.876362
221,-19.35318,11.34004
222,-16.749662,9.890515
223,-17.41127,10.603257
224,-19.111143,12.285741
225,-19.32647,12.3406515
226,-14.905558,10.344222
227,-18.141293,11.638536
228,-18.885538,9.486585
229,-20.077906,12.499144
230,-18.339552,12.754422
231,-16.226759,6.742378
232,-19.48738,11.958795
