,True_label,Pseudo_label,Domain label
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,1,1,0
93,1,1,0
94,1,1,0
95,1,1,0
96,1,1,0
97,1,1,0
98,1,1,0
99,1,1,0
100,1,1,0
101,1,1,0
102,1,1,0
103,1,1,0
104,1,1,0
105,1,1,0
106,1,1,0
107,1,1,0
108,1,1,0
109,1,1,0
110,1,1,0
111,1,1,0
112,1,1,0
113,1,1,0
114,1,1,0
115,1,1,0
116,1,1,0
117,1,1,0
118,1,1,0
119,1,1,0
120,1,1,0
121,1,1,0
122,1,1,0
123,1,1,0
124,1,1,0
125,1,1,0
126,1,1,0
127,1,1,0
128,1,1,0
129,1,1,0
130,1,1,0
131,1,1,0
132,1,1,0
133,1,1,0
134,1,1,0
135,1,1,0
136,1,1,0
137,1,1,0
138,1,1,0
139,1,1,0
140,1,1,0
141,1,1,0
142,1,1,0
143,1,1,0
144,1,1,0
145,1,1,0
146,1,1,0
147,1,1,0
148,1,1,0
149,1,1,0
150,1,1,0
151,1,1,0
152,1,1,0
153,1,1,0
154,1,1,0
155,1,1,0
156,1,1,0
157,1,1,0
158,1,1,0
159,1,1,0
160,1,1,0
161,1,1,0
162,1,1,0
163,1,1,0
164,1,1,0
165,1,1,0
166,1,1,0
167,1,1,0
168,1,1,0
169,1,1,0
170,1,1,0
171,1,1,0
172,1,1,0
173,1,1,0
174,2,2,0
175,2,2,0
176,2,2,0
177,2,2,0
178,2,2,0
179,2,2,0
180,2,2,0
181,2,2,0
182,2,2,0
183,2,2,0
184,2,2,0
185,2,2,0
186,2,2,0
187,2,2,0
188,2,2,0
189,2,2,0
190,2,2,0
191,2,2,0
192,2,2,0
193,2,2,0
194,2,2,0
195,2,2,0
196,2,2,0
197,2,2,0
198,2,2,0
199,2,2,0
200,2,2,0
201,2,2,0
202,2,2,0
203,2,2,0
204,2,2,0
205,2,2,0
206,2,2,0
207,2,2,0
208,2,2,0
209,2,2,0
210,2,2,0
211,2,2,0
212,2,2,0
213,2,2,0
214,2,2,0
215,2,2,0
216,2,2,0
217,2,2,0
218,2,2,0
219,2,2,0
220,2,2,0
221,2,2,0
222,2,2,0
223,2,2,0
224,2,2,0
225,2,2,0
226,2,2,0
227,2,2,0
228,2,2,0
229,2,2,0
230,2,2,0
231,2,2,0
232,2,2,0
